Ab dilution	Ag dilution	Absorbance	Known?	
40000	10	1.898	0	
40000	10	1.912	0	
40000	10	1.847	0	
40000	10	1.855	0	
40000	4	1.888	0	
40000	4	1.919	0	
40000	4	1.887	0	
40000	4	1.576	0	
40000	4	1.651	0	
40000	4	1.680	0	
40000	100	1.624	0	
40000	100	1.978	0	
40000	100	1.909	0	
40000	100	1.537	0	
40000	100	1.888	0	
40000	100	1.620	0	
40000	400	0.760	0	
40000	400	0.845	0	
40000	400	0.770	0	
40000	400	0.775	0	
40000	400	0.884	0	
40000	1000	0.305	0	
40000	1000	0.326	0	
40000	1000	0.354	0	
40000	1000	0.286	0	
40000	1000	0.344	0	
40000	1000	0.352	0	
40000	4000	0.090	0	
40000	4000	0.067	0	
40000	4000	0.071	0	
40000	4000	0.087	0	
40000	4000	0.074	0	
40000	10000	0.035	0	
40000	10000	0.034	0	
40000	10000	0.033	0	
40000	10000	0.028	0	
40000	10000	0.026	0	
40000	10000	0.037	0	
40000	40000	0.007	0	
40000	40000	0.007	0	
40000	40000	0.007	0	
40000	40000	0.007	0	
40000	40000	0.007	0	
40000	100000	0.004	0	
40000	100000	0.003	0	
40000	100000	0.003	0	
40000	100000	0.003	0	
40000	100000	0.003	0	
40000	100000	0.003	0	
40000	400000	0.001	0	
40000	400000	0.001	0	
40000	400000	0.001	0	
40000	400000	0.001	0	
40000	400000	0.001	0	
40000	10	1.507	0	
40000	10	1.585	0	
40000	10	1.915	0	
40000	10	1.602	0	
40000	4	1.796	0	
40000	4	1.520	0	
40000	100	1.764	0	
40000	100	1.612	0	
40000	400	0.765	0	
40000	400	0.861	0	
40000	400	0.877	0	
40000	1000	0.358	0	
40000	1000	0.316	0	
40000	4000	0.077	0	
40000	4000	0.076	0	
40000	4000	0.074	0	
40000	10000	0.035	0	
40000	10000	0.034	0	
40000	40000	0.007	0	
40000	40000	0.009	0	
40000	40000	0.009	0	
40000	100000	0.004	0	
40000	100000	0.003	0	
40000	400000	0.001	0	
40000	400000	0.001	0	
40000	400000	0.001	0	
40000	1000000	0.000	0	
40000	1000000	0.000	0	
40000	1000000	0.000	0	
40000	1000000	0.000	0	
40000	1000000	0.000	0	
40000	1000000	0.000	0	
40000	1000000	0.000	0	
40000	1000000	0.000	0	
40000	4000000	0.000	0	
40000	4000000	0.000	0	
40000	4000000	0.000	0	
40000	4000000	0.000	0	
40000	4000000	0.000	0	
40000	4000000	0.000	0	
40000	4000000	0.000	0	
40000	4000000	0.000	0	
