Ab dilution	Ag dilution	Absorbance	Known?	
4000	10	1.607	1	
10000	10	2.166	1	
80000	10	0.980	1	
100000	10	0.629	1	
100	40	1.949	1	
1000	40	2.176	1	
4000	40	2.347	1	
40000	40	1.615	1	
80000	40	0.824	1	
1000000	40	0.077	1	
100	100	1.625	1	
4000	100	2.089	1	
10000	100	2.063	1	
80000	100	0.735	1	
100000	100	0.765	1	
1000000	100	0.063	1	
1000	400	1.072	1	
4000	400	1.073	1	
40000	400	0.963	1	
80000	400	0.813	1	
1000000	400	0.068	1	
100	1000	0.430	1	
4000	1000	0.470	1	
10000	1000	0.378	1	
40000	1000	0.412	1	
100000	1000	0.420	1	
1000000	1000	0.060	1	
1000	4000	0.106	1	
4000	4000	0.094	1	
40000	4000	0.107	1	
80000	4000	0.089	1	
1000000	4000	0.080	1	
100	10000	0.042	1	
1000	10000	0.038	1	
10000	10000	0.043	1	
40000	10000	0.045	1	
100000	10000	0.042	1	
1000000	10000	0.039	1	
1000	40000	0.009	1	
4000	40000	0.009	1	
40000	40000	0.009	1	
80000	40000	0.009	1	
100000	40000	0.011	1	
100	100000	0.004	1	
1000	100000	0.004	1	
10000	100000	0.004	1	
40000	100000	0.004	1	
100000	100000	0.004	1	
1000000	100000	0.004	1	
1000	400000	0.001	1	
4000	400000	0.001	1	
10000	400000	0.001	1	
80000	400000	0.001	1	
100000	400000	0.001	1	
100	1000000	0.000	1	
1000	1000000	0.000	1	
10000	1000000	0.000	1	
40000	1000000	0.000	1	
100000	1000000	0.000	1	
1000000	1000000	0.000	1	
100	4000000	0.000	1	
4000	4000000	0.000	1	
10000	4000000	0.000	1	
80000	4000000	0.000	1	
100000	4000000	0.000	1	
100	10	2.333	1	
1000	10	2.213	1	
40000	10	1.933	1	
1000000	10	0.068	1	
10000	40	1.864	1	
100000	40	0.632	1	
1000	100	1.929	1	
40000	100	2.047	1	
100	400	1.063	1	
10000	400	1.105	1	
100000	400	0.676	1	
1000	1000	0.352	1	
80000	1000	0.364	1	
100	4000	0.115	1	
10000	4000	0.091	1	
100000	4000	0.085	1	
4000	10000	0.034	1	
80000	10000	0.034	1	
100	40000	0.009	1	
10000	40000	0.008	1	
1000000	40000	0.011	1	
4000	100000	0.004	1	
80000	100000	0.004	1	
100	400000	0.001	1	
40000	400000	0.001	1	
1000000	400000	0.001	1	
4000	1000000	0.000	1	
80000	1000000	0.000	1	
1000	4000000	0.000	1	
40000	4000000	0.000	1	
1000000	4000000	0.000	1	
