Ab dilution	Ag dilution	Absorbance	Known?	
40000	1000	0.354	0	
40000	1000	0.343	0	
40000	1000	0.355	0	
40000	1000	0.279	0	
40000	1000	0.268	0	
40000	1000	0.303	0	
40000	1000	0.348	0	
40000	1000	0.358	0	
40000	1000	0.283	0	
40000	1000	0.358	0	
40000	1000	0.277	0	
40000	1000	0.378	0	
40000	1000	0.290	0	
40000	1000	0.290	0	
40000	1000	0.304	0	
40000	1000	0.284	0	
40000	1000	0.355	0	
40000	1000	0.331	0	
40000	1000	0.345	0	
40000	1000	0.271	0	
40000	1000	0.276	0	
40000	1000	0.356	0	
40000	1000	0.349	0	
40000	1000	0.301	0	
40000	1000	0.259	0	
40000	1000	0.308	0	
40000	1000	0.331	0	
40000	1000	0.357	0	
40000	1000	0.284	0	
40000	1000	0.361	0	
40000	1000	0.295	0	
40000	1000	0.332	0	
40000	1000	0.282	0	
40000	1000	0.381	0	
40000	1000	0.278	0	
40000	1000	0.340	0	
40000	1000	0.358	0	
40000	1000	0.316	0	
40000	1000	0.273	0	
40000	1000	0.285	0	
40000	1000	0.359	0	
40000	1000	0.366	0	
40000	1000	0.286	0	
40000	1000	0.297	0	
40000	1000	0.275	0	
40000	1000	0.307	0	
40000	1000	0.368	0	
40000	1000	0.351	0	
40000	1000	0.341	0	
40000	1000	0.339	0	
40000	1000	0.313	0	
40000	1000	0.354	0	
40000	1000	0.346	0	
40000	1000	0.284	0	
40000	1000	0.334	0	
40000	1000	0.278	0	
40000	1000	0.300	0	
40000	1000	0.286	0	
40000	1000	0.312	0	
40000	1000	0.353	0	
40000	1000	0.361	0	
40000	1000	0.364	0	
40000	1000	0.357	0	
40000	1000	0.372	0	
40000	1000	0.285	0	
40000	1000	0.358	0	
40000	1000	0.274	0	
40000	1000	0.282	0	
40000	1000	0.280	0	
40000	1000	0.344	0	
40000	1000	0.253	0	
40000	1000	0.300	0	
40000	1000	0.336	0	
40000	1000	0.300	0	
40000	1000	0.301	0	
40000	1000	0.348	0	
40000	1000	0.355	0	
40000	1000	0.374	0	
40000	1000	0.276	0	
40000	1000	0.290	0	
40000	1000	0.279	0	
40000	1000	0.370	0	
40000	1000	0.338	0	
40000	1000	0.270	0	
40000	1000	0.373	0	
40000	1000	0.351	0	
40000	1000	0.356	0	
40000	1000	0.353	0	
40000	1000	0.256	0	
40000	1000	0.294	0	
40000	1000	0.339	0	
40000	1000	0.315	0	
40000	1000	0.351	0	
40000	1000	0.288	0	
40000	1000	0.311	0	
40000	1000	0.352	0	
40000	1000	0.352	0	
40000	1000	0.280	0	
40000	1000	0.333	0	
40000	1000	0.368	0	
40000	1000	0.334	0	
40000	1000	0.294	0	
40000	1000	0.297	0	
40000	1000	0.299	0	
40000	1000	0.279	0	
40000	1000	0.343	0	
40000	1000	0.357	0	
40000	1000	0.309	0	
40000	1000	0.366	0	
40000	1000	0.363	0	
40000	1000	0.310	0	
40000	1000	0.311	0	
40000	1000	0.358	0	
40000	1000	0.335	0	
40000	1000	0.361	0	
40000	1000	0.296	0	
40000	1000	0.257	0	
40000	1000	0.334	0	
40000	1000	0.308	0	
40000	1000	0.293	0	
40000	1000	0.293	0	
40000	1000	0.336	0	
