Ab dilution	Ag dilution	Absorbance	Known?	
40000	10	1.868	1	
40000	10	1.474	1	
40000	10	2.072	1	
40000	10	1.911	1	
40000	10	1.523	1	
40000	10	1.789	1	
40000	10	1.807	1	
40000	40	1.859	1	
40000	40	1.535	1	
40000	40	1.594	1	
40000	40	1.912	1	
40000	40	1.517	1	
40000	40	1.738	1	
40000	100	1.945	1	
40000	100	1.939	1	
40000	100	1.494	1	
40000	100	1.842	1	
40000	100	2.023	1	
40000	400	0.924	1	
40000	400	1.087	1	
40000	400	1.058	1	
40000	400	1.055	1	
40000	400	0.942	1	
40000	10	1.631	1	
40000	40	1.713	1	
40000	40	1.693	1	
40000	100	1.920	1	
40000	100	1.658	1	
40000	100	1.701	1	
40000	400	0.868	1	
40000	400	0.959	1	
40000	400	0.887	1	
40000	1000	0.381	1	
40000	1000	0.392	1	
40000	1000	0.352	1	
40000	1000	0.421	1	
40000	1000	0.431	1	
40000	1000	0.330	1	
40000	1000	0.335	1	
40000	1000	0.443	1	
40000	4000	0.106	1	
40000	4000	0.106	1	
40000	4000	0.118	1	
40000	4000	0.110	1	
40000	4000	0.111	1	
40000	4000	0.102	1	
40000	4000	0.110	1	
40000	4000	0.089	1	
40000	10000	0.037	1	
40000	10000	0.045	1	
40000	10000	0.042	1	
40000	10000	0.043	1	
40000	10000	0.037	1	
40000	10000	0.043	1	
40000	10000	0.037	1	
40000	10000	0.045	1	
40000	40000	0.009	1	
40000	40000	0.009	1	
40000	40000	0.011	1	
40000	40000	0.011	1	
40000	40000	0.011	1	
40000	40000	0.008	1	
40000	40000	0.011	1	
40000	40000	0.011	1	
40000	100000	0.004	1	
40000	100000	0.004	1	
40000	100000	0.004	1	
40000	100000	0.005	1	
40000	100000	0.004	1	
40000	100000	0.005	1	
40000	100000	0.004	1	
40000	100000	0.004	1	
40000	400000	0.001	1	
40000	400000	0.001	1	
40000	400000	0.001	1	
40000	400000	0.001	1	
40000	400000	0.001	1	
40000	400000	0.001	1	
40000	400000	0.001	1	
40000	400000	0.001	1	
40000	1000000	0.000	1	
40000	1000000	0.000	1	
40000	1000000	0.000	1	
40000	1000000	0.000	1	
40000	1000000	0.000	1	
40000	1000000	0.000	1	
40000	1000000	0.000	1	
40000	1000000	0.000	1	
40000	4000000	0.000	1	
40000	4000000	0.000	1	
40000	4000000	0.000	1	
40000	4000000	0.000	1	
40000	4000000	0.000	1	
40000	4000000	0.000	1	
40000	4000000	0.000	1	
40000	4000000	0.000	1	
