Ab dilution	Ag dilution	Absorbance	Known?	
10	10	2.110	1	
10	100	2.174	1	
10	1000	0.384	1	
10	10000	0.044	1	
10	100000	0.004	1	
10	1000000	0.000	1	
10	2000000	0.000	1	
10	4000000	0.000	1	
100	10	1.911	1	
100	100	2.190	1	
100	1000	0.341	1	
100	10000	0.044	1	
100	100000	0.004	1	
100	1000000	0.000	1	
100	2000000	0.000	1	
100	4000000	0.000	1	
1000	10	0.379	1	
1000	100	0.347	1	
1000	1000	0.347	1	
1000	10000	0.039	1	
1000	100000	0.004	1	
1000	2000000	0.000	1	
1000	4000000	0.000	1	
10000	10	0.041	1	
10000	1000	0.046	1	
10000	10000	0.043	1	
10000	1000000	0.000	1	
10000	2000000	0.000	1	
100000	10	0.005	1	
100000	100	0.004	1	
100000	10000	0.005	1	
100000	100000	0.004	1	
100000	1000000	0.000	1	
100000	4000000	0.000	1	
1000000	10	0.000	1	
1000000	1000	0.000	1	
1000000	10000	0.000	1	
1000000	1000000	0.000	1	
1000000	2000000	0.000	1	
1000	1000000	0.000	1	
10000	100	0.043	1	
10000	100000	0.004	1	
10000	4000000	0.000	1	
100000	1000	0.003	1	
100000	2000000	0.000	1	
1000000	100	0.000	1	
1000000	100000	0.000	1	
1000000	4000000	0.000	1	
