Ag volume	Ag dilution	Ab volume	Ab dilution	Count	Known?	
1	1000	1	100	47000	1	
1	10000	1	100	60500	1	
1	100	1	100	38197	1	
1	100000	1	10000	35217	1	
1	10000	1	10000	18380	1	
1	1000	1	10000	4083	1	
1	100	1	10000	346	1	
1	100000	1	1000	43825	1	
1	10000	1	1000	52750	1	
1	100	1	1000	3399	1	
1	100000	1	100	43225	1	
1	10000	1	100000	1863	1	
1	100000	1	100000	3946	1	
1	1000	1	100000	392	1	
5	100000	1	10000	29745	1	
1	100000	1	10000	34417	1	
5	1000000	1	10000	41275	1	
1	1000000	1	10000	34771	1	
5	10	1	10000	6	1	
1	10	1	10000	45	1	
5	100	1	10000	83	1	
1	100	1	10000	421	1	
5	1000	1	10000	838	1	
5	10000	1	10000	6376	1	
1	10000	1	10000	19200	1	
1	1000	1	10000	3372	1	
1	100	1	100000	42	1	
1	1000	1	1000	34926	1	
4	100000	1	10000	25899	1	
4	10000	1	10000	7300	1	
6	10000	1	10000	5048	1	
8	10000	1	10000	4384	1	
2	1000	1	10000	2090	1	
4	1000	1	10000	1078	1	
8	1000000	1	10000	39555	1	
2	100000	1	10000	31149	1	
6	100000	1	10000	27311	1	
8	100000	1	10000	25110	1	
2	10000	1	10000	11806	1	
9	10000	1	10000	4616	1	
7	10000	1	10000	5845	1	
3	10000	1	10000	10050	1	
3	1000	1	10000	1110	1	
6	1000000	1	10000	31923	1	
0	10	1	10000	41180	1	
0	10	1	10000	35080	1	
0	10	1	10000	40280	1	
0	10	1	10000	37400	1	
0	10	1	10000	37680	1	
4	10000	1	10000	8476	1	
2	10000	1	10000	14799	1	
9	100000	1	10000	20504	1	
7	100000	1	10000	25434	1	
3	100000	1	10000	27938	1	
9	10000	1	10000	4252	1	
7	10000	1	10000	4662	1	
3	10000	1	10000	9945	1	
9	1000	1	10000	418	1	
7	1000	1	10000	597	1	
3	1000	1	10000	1144	1	
0	10	1	10000	43680	1	
0	10	1	10000	41480	1	
0	10	1	10000	43560	1	
6	10000	1	10000	5085	1	
1	100	1	10000	454	0	
5	1000	1	10000	826	0	
1	1000	1	10000	3857	0	
5	10000	1	10000	8245	0	
1	10000	1	10000	19760	0	
5	100000	1	10000	29922	0	
1	100000	1	10000	33886	0	
0	10	1	10000	34560	0	
0	10	1	10000	46860	0	
0	10	1	10000	34540	0	
0	10	1	10000	39020	0	
0	10	1	10000	38380	0	
1	10000	1	10000	20336	0	
1	10000	1	10000	17947	0	
1	10000	1	10000	20618	0	
1	10000	1	10000	23919	0	
1	10000	1	10000	23332	0	
1	10000	1	10000	23224	0	
1	10000	1	10000	21150	0	
1	10000	1	10000	23007	0	
1	10000	1	10000	23463	0	
1	10000	1	10000	20596	0	
1	10000	1	10000	25927	0	
1	10000	1	10000	18685	0	
1	10000	1	10000	20270	0	
1	10000	1	10000	21910	0	
1	10000	1	10000	20466	0	
1	10000	1	10000	20162	0	
1	10000	1	10000	19880	0	
1	10000	1	10000	17502	0	
1	10000	1	10000	20314	0	
1	10000	1	10000	24646	0	
1	10000	1	10000	20281	0	
1	10000	1	10000	20151	0	
1	10000	1	10000	18946	0	
1	10000	1	10000	20346	0	
1	10000	1	10000	23137	0	
1	10000	1	10000	21715	0	
1	10000	1	10000	20108	0	
1	10000	1	10000	19858	0	
1	10000	1	10000	23180	0	
1	10000	1	10000	19445	0	
1	10000	1	10000	18012	0	
1	10000	1	10000	20477	0	
1	10000	1	10000	23256	0	
1	10000	1	10000	19782	0	
1	10000	1	10000	23235	0	
1	10000	1	10000	24407	0	
1	10000	1	10000	23647	0	
1	10000	1	10000	24320	0	
1	10000	1	10000	20064	0	
1	10000	1	10000	21291	0	
1	10000	1	10000	19521	0	
1	10000	1	10000	22735	0	
1	10000	1	10000	19250	0	
1	10000	1	10000	21573	0	
1	10000	1	10000	23560	0	
1	10000	1	10000	18631	0	
1	10000	1	10000	25656	0	
1	10000	1	10000	19337	0	
1	10000	1	10000	19174	0	
1	10000	1	10000	24016	0	
1	10000	1	10000	19630	0	
1	10000	1	10000	24136	0	
1	10000	1	10000	20292	0	
1	10000	1	10000	24005	0	
1	10000	1	10000	17643	0	
1	10000	1	10000	23365	0	
1	10000	1	10000	19890	0	
1	10000	1	10000	20629	0	
1	10000	1	10000	24103	0	
1	10000	1	10000	20173	0	
1	10000	1	10000	25102	0	
1	10000	1	10000	20933	0	
1	10000	1	10000	19174	0	
1	10000	1	10000	19065	0	
1	10000	1	10000	23397	0	
1	10000	1	10000	19880	0	
1	10000	1	10000	22388	0	
1	10000	1	10000	19174	0	
1	10000	1	10000	23159	0	
1	10000	1	10000	23658	0	
1	10000	1	10000	22008	0	
1	10000	1	10000	24787	0	
1	10000	1	10000	22931	0	
1	10000	1	10000	24309	0	
1	10000	1	10000	24841	0	
1	10000	1	10000	23484	0	
1	10000	1	10000	23777	0	
1	10000	1	10000	25048	0	
1	10000	1	10000	20976	0	
1	10000	1	10000	24700	0	
1	10000	1	10000	20053	0	
1	10000	1	10000	20629	0	
1	10000	1	10000	20792	0	
1	10000	1	10000	19565	0	
1	10000	1	10000	19261	0	
1	10000	1	10000	24527	0	
1	10000	1	10000	18099	0	
1	10000	1	10000	24516	0	
1	10000	1	10000	23072	0	
1	10000	1	10000	22279	0	
1	10000	1	10000	21139	0	
1	10000	1	10000	23745	0	
1	10000	1	10000	21715	0	
1	10000	1	10000	19782	0	
1	10000	1	10000	19977	0	
1	10000	1	10000	19923	0	
1	10000	1	10000	24353	0	
1	10000	1	10000	18609	0	
1	10000	1	10000	23452	0	
1	10000	1	10000	19000	0	
1	10000	1	10000	20336	0	
1	10000	1	10000	19858	0	
1	10000	1	10000	18968	0	
1	10000	1	10000	23951	0	
1	10000	1	10000	24744	0	
1	10000	1	10000	23539	0	
1	10000	1	10000	24418	0	
1	10000	1	10000	23810	0	
1	10000	1	10000	21009	0	
1	10000	1	10000	19478	0	
1	10000	1	10000	23625	0	
1	10000	1	10000	19152	0	
1	10000	1	10000	25211	0	
1	10000	1	10000	23202	0	
1	10000	1	10000	22963	0	
1	10000	1	10000	22844	0	
1	10000	1	10000	20379	0	
1	10000	1	10000	22409	0	
1	10000	1	10000	25069	0	
1	10000	1	10000	17730	0	
1	10000	1	10000	20846	0	
1	10000	1	10000	23452	0	
1	10000	1	10000	24646	0	
1	10000	1	10000	25254	0	
1	10000	1	10000	24722	0	
1	10000	1	10000	18533	0	
1	10000	1	10000	24429	0	
1	10000	1	10000	19597	0	
1	10000	1	10000	19532	0	
1	10000	1	10000	24483	0	
1	10000	1	10000	22073	0	
1	10000	1	10000	19521	0	
1	10000	1	10000	19804	0	
1	10000	1	10000	25493	0	
